date,price
520,1344.0
521,1347.5
522,1326.0
523,1335.5
524,1337.5
525,1316.0
526,1333.5
527,1337.5
528,1337.0
529,1332.5
530,1347.5
531,1347.0
532,1354.0
533,1362.5
534,1358.75
535,1359.0
536,1356.75
537,1372.25
538,1374.5
539,1377.0
540,1385.5
541,1399.5
542,1394.5
543,1401.25
544,1414.5
545,1405.0
546,1409.75
547,1414.5
548,1430.5
549,1430.5
550,1418.0
551,1437.0
552,1435.0
553,1431.5
554,1424.25
555,1409.75
556,1424.5
557,1407.0
558,1398.5
559,1403.5
560,1415.5
561,1427.75
562,1425.5
563,1433.0
564,1441.25
565,1434.0
566,1420.0
567,1414.0
568,1419.0
569,1431.0
570,1434.5
571,1432.5
572,1434.5
573,1457.0
574,1456.5
575,1470.5
576,1469.5
577,1461.25
578,1458.0
579,1457.5
580,1472.5
581,1484.5
582,1495.0
583,1505.0
584,1507.0
585,1505.0
586,1508.0
587,1531.0
588,1546.5
589,1536.0
590,1514.5
591,1487.75
592,1505.0
593,1517.25
594,1524.5
595,1488.25
596,1511.0
597,1495.0
598,1495.5
599,1491.25
600,1488.75
601,1502.75
602,1508.5
603,1520.75
604,1527.0
605,1521.5
606,1525.0
607,1537.0
608,1532.25
609,1540.75
610,1531.0
611,1542.75
612,1548.4
613,1535.5
614,1534.0
615,1541.0
616,1524.7
617,1519.0
618,1517.75
619,1525.0
620,1526.25
621,1537.0
622,1543.0
623,1546.0
624,1541.5
625,1521.0
626,1501.0
627,1502.5
628,1506.0
629,1508.0
630,1492.75
631,1495.25
632,1498.75
633,1515.8
634,1526.25
635,1526.0
636,1543.5
637,1544.5
638,1571.5
639,1592.5
640,1578.5
641,1598.25
642,1602.0
643,1584.25
644,1600.5
645,1588.0
646,1618.5
647,1610.0
648,1621.0
649,1617.5
650,1613.75
651,1613.5
652,1624.0
653,1667.5
654,1664.25
655,1665.0
656,1709.75
657,1770.0
658,1753.75
659,1786.0
660,1755.0
661,1738.0
662,1779.0
663,1792.0
664,1794.5
665,1862.0
666,1877.75
667,1886.5
668,1850.0
669,1716.5
670,1787.0
671,1791.0
672,1826.0
673,1815.5
674,1854.0
675,1896.5
676,1891.0
677,1844.0
678,1827.0
679,1879.5
680,1843.0
681,1806.0
682,1829.0
683,1806.0
684,1778.0
685,1817.0
686,1792.0
687,1810.25
688,1765.5
689,1730.0
690,1615.0
691,1671.0
692,1655.0
693,1620.0
694,1629.0
695,1660.0
696,1672.0
697,1600.0
698,1649.5
699,1651.0
700,1664.0
701,1662.0
702,1687.0
703,1673.0
704,1676.0
705,1689.0
706,1658.0
707,1651.0
708,1629.0
709,1623.0
710,1651.0
711,1656.25
712,1713.0
713,1708.0
714,1735.0
715,1718.0
716,1702.0
717,1731.0
718,1732.5
719,1756.0
720,1764.0
721,1794.0
722,1780.0
723,1766.0
724,1764.0
725,1780.5
726,1765.0
727,1773.0
728,1756.0
729,1730.0
730,1704.0
731,1697.5
732,1686.0
733,1699.0
734,1676.0
735,1714.0
736,1717.0
737,1704.0
738,1750.0
739,1751.0
740,1744.0
741,1720.0
742,1731.0
743,1739.0
744,1712.0
745,1680.0
746,1665.0
747,1635.0
748,1590.0
749,1589.5
750,1593.0
751,1605.0
752,1637.5
753,1609.0
754,1607.5
755,1584.0
756,1537.5
757,1574.5
758,1590.0
759,1603.0
760,1614.5
761,1621.0
762,1618.0
763,1627.0
764,1641.0
765,1652.5
766,1642.0
767,1643.5
768,1662.0
769,1657.0
770,1664.0
771,1646.0
772,1675.0
773,1669.0
774,1659.0
775,1713.0
776,1722.0
777,1720.5
778,1738.0
779,1744.0
780,1747.5
781,1759.5
782,1717.0
783,1720.0
784,1743.0
785,1733.0
786,1715.5
787,1727.0
788,1721.0
789,1725.5
790,1716.0
791,1732.0
792,1729.5
793,1737.0
794,1754.75
795,1776.5
796,1778.5
797,1765.0
798,1774.75
799,1788.0
800,1721.0
801,1714.5
802,1698.0
803,1685.5
804,1682.5
805,1701.5
806,1699.5
807,1705.25
808,1694.75
809,1662.0
810,1646.75
811,1649.0
812,1654.0
813,1648.5
814,1656.0
815,1636.0
816,1651.0
817,1658.0
818,1694.0
819,1677.0
820,1655.75
821,1660.75
822,1664.0
823,1674.75
824,1631.75
825,1622.5
826,1643.75
827,1654.0
828,1655.5
829,1670.5
830,1648.25
831,1652.0
832,1646.5
833,1642.0
834,1640.0
835,1632.0
836,1638.75
837,1641.25
838,1648.25
839,1654.0
840,1662.5
841,1661.25
842,1652.5
843,1642.5
844,1629.5
845,1627.0
846,1585.5
847,1590.0
848,1580.75
849,1563.0
850,1559.0
851,1537.5
852,1547.0
853,1588.0
854,1590.25
855,1575.75
856,1555.0
857,1558.5
858,1560.5
859,1579.0
860,1573.75
861,1548.75
862,1567.5
863,1552.5
864,1633.25
865,1620.75
866,1576.0
867,1593.0
868,1589.25
869,1612.75
870,1619.0
871,1622.25
872,1623.5
873,1628.5
874,1618.75
875,1600.0
876,1570.5
877,1569.0
878,1583.25
879,1567.5
880,1567.75
881,1569.5
882,1596.25
883,1608.5
884,1617.0
885,1616.75
886,1591.75
887,1581.0
888,1594.5
889,1576.5
890,1565.5
891,1579.0
892,1584.0
893,1595.0
894,1579.5
895,1580.0
896,1583.0
897,1571.5
898,1573.0
899,1587.5
900,1603.0
901,1618.75
902,1616.5
903,1622.75
904,1614.75
905,1604.5
906,1595.0
907,1606.75
908,1613.0
909,1607.0
910,1612.75
911,1608.5
912,1622.25
913,1614.5
914,1594.75
915,1603.5
916,1616.5
917,1615.25
918,1624.0
919,1640.5
920,1662.5
921,1666.5
922,1663.5
923,1664.25
924,1657.0
925,1657.75
926,1686.0
927,1691.5
928,1689.5
929,1708.5
930,1696.0
931,1732.75
932,1731.0
933,1742.75
934,1730.5
935,1772.5
936,1767.25
937,1756.75
938,1774.5
939,1760.0
940,1773.75
941,1758.5
942,1766.75
943,1763.75
944,1755.25
945,1781.0
946,1770.5
947,1778.5
948,1777.25
949,1786.5
